uuid,name,parent,product
3c58cf79-06c5-462a-ad23-408ee34e4681,Share Comments,,2c58cf79-06c5-462a-ad23-408ee34e4681
3c58cf79-06c5-462a-ad23-408ee34e4682,Post,3c58cf79-06c5-462a-ad23-408ee34e4681,2c58cf79-06c5-462a-ad23-408ee34e4681
3c58cf79-06c5-462a-ad23-408ee34e4683,Task,3c58cf79-06c5-462a-ad23-408ee34e4681,2c58cf79-06c5-462a-ad23-408ee34e4681
3c58cf79-06c5-462a-ad23-408ee34e4684,List Comments,,2c58cf79-06c5-462a-ad23-408ee34e4681
3c58cf79-06c5-462a-ad23-408ee34e4685,Show posts,3c58cf79-06c5-462a-ad23-408ee34e4684,2c58cf79-06c5-462a-ad23-408ee34e4681
3c58cf79-06c5-462a-ad23-408ee34e4686,User reels,3c58cf79-06c5-462a-ad23-408ee34e4684,2c58cf79-06c5-462a-ad23-408ee34e4681
3c58cf79-06c5-462a-ad23-408ee34e4687,Discover comments,,2c58cf79-06c5-462a-ad23-408ee34e4681
3c58cf79-06c5-462a-ad23-408ee34e4688,Test features,,2c58cf79-06c5-462a-ad23-408ee34e4682
3c58cf79-06c5-462a-ad23-408ee34e4689,Test authentication,3c58cf79-06c5-462a-ad23-408ee34e4688,2c58cf79-06c5-462a-ad23-408ee34e4682
3c58cf79-06c5-462a-ad23-408ee34e468a,Test api,3c58cf79-06c5-462a-ad23-408ee34e4688,2c58cf79-06c5-462a-ad23-408ee34e4682
3c58cf79-06c5-462a-ad23-408ee34e468b,Test component,3c58cf79-06c5-462a-ad23-408ee34e4688,2c58cf79-06c5-462a-ad23-408ee34e4682
3c58cf79-06c5-462a-ad23-408ee34e468c,UI revision,,2c58cf79-06c5-462a-ad23-408ee34e4682
3c58cf79-06c5-462a-ad23-408ee34e468d,Remove fake login page,3c58cf79-06c5-462a-ad23-408ee34e468c,2c58cf79-06c5-462a-ad23-408ee34e4682
3c58cf79-06c5-462a-ad23-408ee34e468e,Fit spacing and margin,3c58cf79-06c5-462a-ad23-408ee34e468c,2c58cf79-06c5-462a-ad23-408ee34e4682
3c58cf79-06c5-462a-ad23-408ee34e468f,Fix UI issues,,2c58cf79-06c5-462a-ad23-408ee34e4683
3c58cf79-06c5-462a-ad23-408ee34e4691,Fix fixture issues,,2c58cf79-06c5-462a-ad23-408ee34e4683
3c58cf79-06c5-462a-ad23-408ee34e4692,Fix API issues,,2c58cf79-06c5-462a-ad23-408ee34e4683
3c58cf79-06c5-462a-ad23-408ee34e4693,Fix person profile page,3c58cf79-06c5-462a-ad23-408ee34e468f,2c58cf79-06c5-462a-ad23-408ee34e4683
3c58cf79-06c5-462a-ad23-408ee34e4694,Add new models,3c58cf79-06c5-462a-ad23-408ee34e4691,2c58cf79-06c5-462a-ad23-408ee34e4683
3c58cf79-06c5-462a-ad23-408ee34e4695,Fix task api,3c58cf79-06c5-462a-ad23-408ee34e4692,2c58cf79-06c5-462a-ad23-408ee34e4683
3c58cf79-06c5-462a-ad23-408ee34e4696,Fix product api,3c58cf79-06c5-462a-ad23-408ee34e4692,2c58cf79-06c5-462a-ad23-408ee34e4683
